zone,date,pred,lat,lon,junction_name,police_station
196_197,2024-04-09,0.9,12.9648561164794,77.57361732921349,"BTP083 - AS Char Street, Mysore Road",Chamarajpet
195_246,2024-04-09,0.42,12.96359046,77.64129572,"BTP148 - 17th Main, Doopanahalli Bus Stop",Jeevanbheemanagar
195_215,2024-04-09,0.42,12.962812875000001,77.598533,BTP100 - Richmond Circle,Ashok Nagar
195_209,2024-04-09,0.47,12.9629533,77.58984217758622,BTP064 - Devanga Hostel Junction,Halasuru Gate
195_206,2024-04-09,0.53,12.96365745,77.5851130625,BTP079 - Town Hall Junction,Halasuru Gate
194_209,2024-04-09,0.49,12.96197840925926,77.58936654814815,BTP064 - Devanga Hostel Junction,Halasuru Gate
194_214,2024-04-09,0.42,12.962086931802121,77.59631176819788,"BTP101 - Blood Bank Circle, KH Road",Ashok Nagar
194_215,2024-04-09,0.44,12.962274027642277,77.59811085813008,BTP100 - Richmond Circle,Ashok Nagar
194_216,2024-04-09,1.36,12.961850708615383,77.59902985553846,BTP172 - Nanjappa Circle,Ashok Nagar
194_252,2024-04-09,0.7,12.962201820049504,77.64912857236735,No Junction,Jeevanbheemanagar
194_290,2024-04-09,0.42,12.961702243589745,77.70158835897436,No Junction,HAL Old Airport
194_301,2024-04-09,0.62,12.962174051515152,77.71676251030303,No Junction,HAL Old Airport
192_198,2024-04-09,0.42,12.959593471666667,77.57453281,BTP104 - Medical College Circle,V.V.Puram (C.Pet)
195_181,2024-04-09,0.61,12.964029944186045,77.55075683720929,No Junction,Magadi Road
195_199,2024-04-09,2.59,12.963451687500001,77.57642448775,BTP082 - KR Market Junction,V.V.Puram (C.Pet)
195_200,2024-04-09,23.12,12.963781571796822,77.57693763021277,BTP082 - KR Market Junction,City Market
195_201,2024-04-09,2.33,12.963747795294118,77.57855156235294,BTP082 - KR Market Junction,City Market
195_202,2024-04-09,1.14,12.96341358558237,77.57997419293054,BTP082 - KR Market Junction,City Market
195_203,2024-04-09,2.39,12.963395966374376,77.5812730871778,"BTP080 - NR Road, SP Road Junction",City Market
195_204,2024-04-09,0.99,12.963928671604938,77.58284769777778,"BTP080 - NR Road, SP Road Junction",Halasuru Gate
195_205,2024-04-09,2.33,12.963804233707865,77.58398745797753,"BTP080 - NR Road, SP Road Junction",Halasuru Gate
195_187,2024-04-09,0.43,12.963037838235294,77.55945882352941,BTP091 - Sirsi Circle,Magadi Road
